DON'T THINK PEOPLE ACTUALLY USED "ALACK" LIKE THAT
100.00%: 
16.58%:  CAN
11.75%:  CAN TOTALLY SE
6.52%:  CAN TOTALLY SEE HO
5.97%:  CAN TOTALLY HE
5.64%:  CAN TOTALLY H
6.06%:  CAN TOTALLY HELP OUT
5.47%:  CAN TOTALLY DO
4.44%:  CAN TOTALLY SEE THE
3.26%:  CAN TOTALLY SEE THAT AND
2.72%:  CAN TOTALLY HAND
16.82%:  CAN TOTALLY HANDLE THAT
12.50%:  CAN TOTALLY HANDLE THIS
6.08%:  CAN TOTALLY HANDLE THE
2.73%:  CAN TOTALLY HANDLE IT
2.51%:  CAN TOTALLY DO THIS
2.23%:  CAN TOTALLY T
1.75%:  CAN TOTALLY TELL THE
1.75%:  CAN TOTALLY TELL THESE
1.73%:  CAN TOTALLY HANDLE S
1.67%:  COULD USE A LITTLE HELP DE
1.66%:  NEED A
1.66%:  NEED TO CHECK THE PO
1.65%:  NEED YOU TO PULL
1.65%:  NEED TO TELL YOU THAT U
1.65%:  NEED TO TELL YOU ALL
1.62%:  CAN SEE YOU CAN
1.62%:  DON'T NE
4.08%:  DON'T NEED TO
3.52%:  DON'T NEED TO HE
1.98%:  DON'T NEED YOU
1.61%:  COULD USE A LITTLE HELP TODAY IN
2.07%:  COULD USE A LITTLE HELP TODAY IN THE
1.61%:  COULD USE A LITTLE HELP K
1.61%:  COULDN'T HELP NOTICE I
1.60%:  COULD USE A LITTLE HELP CO
1.58%:  DID NOT
1.57%:  THINK YOU AL
1.55%:  COULD USE A LITTLE HELP AND THAT
1.55%:  HAD NO IDEA THAT YOU SPE
1.55%: 'LL TELL YOU SO
1.54%:  CANNOT
1.54%:  NEED YOU TO SPE
8.24%:  NEED YOU TO SPELL CHECK
1.61%:  NEED YOU TO SPELL CHECK THAT
1.59%:  NEED YOU TO SPELL "
1.54%:  SA
1.53%:  KIN
1.52%:  NEED THE KEYS THAT
1.52%:  COULDN'T HELP NOTICE IT
1.51%:  KINDA NE
2.89%:  KINDA NEED TO
2.86%:  KINDA NEED YOU
2.76%:  KINDA NEED THESE
2.63%:  KINDA NEED THE KEY
1.82%:  KINDA NEED YOU TO H
1.60%:  KINDA NEED THE C
1.50%:  THINK YOU'LL NOTICE
1.61%:  THINK YOU'LL NOTICE THAT
1.49%:  COULD USE A LITTLE HELP HAND
1.49%:  COULD USE THE KEY
1.49%:  DON'T THINK IT
1.49%:  COULD USE A LITTLE HELP IN THE D
1.48%:  THINK YOU'LL LI
6.46%:  THINK YOU'LL LIKE THE
6.11%:  THINK YOU'LL LIKE THESE
1.48%:  DON'T NEED THE
1.47%:  CAN'T HELP THAT YOU CAN
1.46%:  HAD TO
1.45%:  THINK YOU SHOULD TAKE IT
1.44%:  THINK YOU NEED TO SPE
14.57%:  THINK YOU NEED TO SPELL CHECK
2.46%:  THINK YOU NEED TO SPELL THAT
1.44%:  COULDN'T HELP NOTICE ALL THESE
1.44%:  NEED TO A
1.44%:  COULD USE A LITTLE HELP EDIT
1.44%:  COULD USE A HINT
1.44%:  DON'T NEED S
1.43%:  HAD NO IDEA HO
1.41%: 'LL TELL E
1.41%:  NEED TO CHECK ON
1.39%:  COULDN'T HELP NOTICE THE T
1.38%:  THINK YOU SHOULD EN
1.38%:  KEE
1.37%:  COULD USE A LITTLE HELP IN T
1.37%:  THINK THEY
1.37%:  NEED THE KEYS THAT OP
1.36%: 'LL NE
1.36%:  THINK YOU NEED TO SPELL THE
1.36%:  NEED YOU TO KILL
1.36%:  COULD USE A LITTLE HELP PACK
1.36%:  THINK YOU SHOULD CALL A
1.36%:  NEED THAT C
1.36%:  COULD USE A LITTLE HELP E
1.36%:  CAN TOTALLY HANDLE THAT L
1.34%:  DON'T THINK YOU ACT
1.34%:  NEED TO STE
1.70%:  NEED TO STEAL THE
1.49%:  NEED TO STEAL A
1.34%:  KINDA NEED T
19.95%:  KINDA NEED THOSE KEY
1.33%:  HAD NO IDEA THESE
1.33%:  COULD USE A LITTLE HELP IN THE LOCK
1.33%:  NEED TO CHECK ON THE
1.32%:  THINK YOU LE
1.32%:  CAN TOTALLY DO THE
1.32%:  USE
1.32%:  NEED YOU TO TAL
1.31%:  COULDN'T HELP NOTICE TH
1.31%:  NEED TO TELL YOU I
1.31%:  COULDN'T HELP NOTICE THAT E
1.30%:  COULD USE A LITTLE HELP N
1.30%:  NEED YOU TO HE
1.29%:  COULDN'T HELP IT OK
1.29%:  NEED YOU TO SPEAK
1.29%:  THINK YOU SHOULD END
1.28%:  THINK THEY'LL
1.28%:  AL
1.28%:  THINK YOU SHOULD KEEP IT
1.28%:  COULD USE A LITTLE HAND
1.28%:  USED TO TH
1.61%:  USED TO THINK THAT
1.63%:  USED TO THINK THAT YOU
1.51%:  USED TO THINK YOU'
1.27%:  THINK YOU NEED TO S
1.26%:  CAN TOTALLY S
1.26%:  THINK THAT'S EN
1.26%:  COULDN'T HELP NOTICE THAT A
1.25%:  COULDN'T HELP YOU
1.25%:  COULDN'T C
1.24%:  NEED YOU TO LE
1.23%: 'LL DO
1.23%:  HAD NO IDEA THAT'
1.23%:  NEED YOU TO KEEP THAT
1.22%:  NEED YOU TO A
1.22%:  THINK YOU SHOULD KEEP AT
1.22%:  NEED T
27.21%:  NEED THOSE KEY
1.22%:  DON'T THINK YOU H
1.21%:  NEED YOU TO STE
1.64%:  NEED YOU TO STEAL THE
1.21%:  CAN TOTALLY DO THAT IN
1.21%:  NEED TO P
2.81%:  NEED TO PICK UP SO
2.15%:  NEED TO PICK UP THE
1.90%:  NEED TO PICK YOU
2.84%:  NEED TO PICK YOU UP AT
1.75%:  NEED TO PICK YOU UP IN
1.56%:  NEED TO PICK UP A
1.39%:  NEED TO PICK UP THE KIDS AT
1.20%:  COULD USE A LITTLE HELP THAT
1.20%:  THINK YOU SHOULD CAL
1.19%: 'LL DO ANY
1.19%:  CAN'T SE
1.18%:  THINK YOU SHOULD LEAN
1.18%:  HATE
1.18%:  COULD USE A LITTLE HELP IN CON
1.18%:  A
6.03%:  ASKED YOU TO
4.63%:  ASKED YOU NOT
1.96%:  ASKED YOU THAT
1.95%:  ASKED YOU ONE
1.86%:  ASKED YOU TO CHECK
2.88%:  ASKED YOU TO CHECK THE
1.51%:  ASKED YOU THE
1.22%:  ASKED YOU AL
1.20%:  ASKED YOU TO C
1.18%:  COULD USE THAT
1.17%:  LI
1.38%:  LIKE THE
1.16%:  CAN TOTALLY HANDLE THESE
1.16%:  NEED TO SPE
3.40%:  NEED TO SPEAK TO THE
1.16%:  COULD T
24.07%:  COULD TOTALLY USE
10.32%:  COULD TOTALLY USE THE
8.38%:  COULD TOTALLY USE A
11.75%:  COULD TOTALLY USE A HAND H
6.73%:  COULD TOTALLY USE A HEL
4.68%:  COULD TOTALLY USE THAT
3.25%:  COULD TOTALLY H
3.15%:  COULD TOTALLY USE THE H
2.39%:  COULD TOTALLY USE AN
2.17%:  COULD TOTALLY USE A L
2.15%:  COULD TOTALLY T
1.90%:  COULD TELL
1.39%:  COULD TOTALLY USE A HAND IN
1.31%:  COULD TOTALLY HAND
10.27%:  COULD TOTALLY HANDLE THAT
5.32%:  COULD TOTALLY HANDLE THIS
3.84%:  COULD TOTALLY HANDLE THE
1.30%:  COULD TOTALLY S
1.27%:  COULD TOTALLY SE
3.34%:  COULD TOTALLY SEE THAT
1.24%:  COULD TELL THAT
1.23%:  COULD TOTALLY TELL THE
1.21%:  COULD TOTALLY HANDLE THESE
1.16%:  COULDN'T HELP IT I
1.16%:  THINK YOU'D LI
3.88%:  THINK YOU'D LIKE THE
2.15%:  THINK YOU'D LIKE THESE
1.15%:  COULD TOTALLY USE H
1.15%:  HAD NO IDEA YOU USE
1.15%: 'D LI
2.05%: 'D LIKE TO HE
1.90%: 'D LIKE TO INT
1.89%: 'D LIKE TO SE
3.98%: 'D LIKE TO SEE YOU
3.87%: 'D LIKE TO SEE THE
1.37%: 'D LIKE TO K
1.26%: 'D LIKE TO T
3.56%: 'D LIKE TO TELL
27.63%: 'D LIKE TO TELL YOU THAT
6.95%: 'D LIKE TO TELL YOU THAT I
3.78%: 'D LIKE TO TELL YOU A SE
3.19%: 'D LIKE TO TALK TO
2.34%: 'D LIKE TO TELL YOU ALL
2.12%: 'D LIKE TO TELL YOU THE
2.08%: 'D LIKE TO TELL YOU A L
35.92%: 'D LIKE TO TELL YOU A LITTLE SE
1.76%: 'D LIKE TO TELL YOU THAT ALL
1.44%: 'D LIKE TO TELL YOU THIS
1.42%: 'D LIKE TO TELL YOU THAT IN
1.17%: 'D LIKE TO SEE THAT
1.15%: 'LL L
5.92%: 'LL LET YOU K
9.44%: 'LL LET YOU KEE
8.24%: 'LL LET YOU KEEP THE C
5.14%: 'LL LET YOU KEEP ALL
5.04%: 'LL LET YOU KEEP ONE
3.02%: 'LL LET YOU KEEP SO
2.39%: 'LL LET YOU KEEP ALL THE C
3.27%: 'LL LET YOU KEEP ALL THE CASH
2.03%: 'LL LET YOU USE
2.08%: 'LL LET YOU USE THE
2.02%: 'LL LET YOU KEEP THAT
1.46%: 'LL LET YOU DO
1.32%: 'LL LET YOU S
1.14%:  THINK YOU CAN H
1.14%: 'D LIKE TO TELL YOU THAT I CAN
1.13%:  CAN'T HELP NOT
1.13%:  COULD USE A LITTLE HELP TID
1.12%:  CAN SEE THAT NO
1.12%: 'D LIKE TO TELL YOU I
1.12%:  COULD TELL YOU ALL
1.12%:  NEED YOU TO TELL THE H
1.11%:  COULD TOTALLY USE A LITTLE IN
1.11%:  THINK THAT'S ONE
1.11%:  NEED H
1.11%:  COULD USE A LITTLE HELP TAL
1.11%:  NEED TO USE THE PH
1.11%:  THINK YOU NEED TO USE
1.11%:  NEED THE KEYS AND
1.10%:  COULDN'T HELP NOTICE THE P
1.10%: 'LL LET YOU DO IT
1.10%:  THINK YOU'LL LIKE THE S
1.09%:  COULD TELL YOU'
1.09%:  THINK YOU SHOULD CALL AN
1.09%:  COULD USE A LITTLE HELP DEAL
1.09%:  THINK YOU SHOULD AN
1.09%:  NEED YOU TO PUT THE
1.09%: 'LL LET YOU P
1.09%:  CAN DO THAT ON
1.09%:  CAN TOTALLY P
1.11%:  CAN TOTALLY PULL
1.61%:  CAN TOTALLY PULL THIS
1.09%:  COULD USE A LITTLE HELP AND I CAN
1.09%:  COULD USE A LITTLE ACTION
1.09%:  NEED YOU TO KEEP IT
1.09%:  COULD TOTALLY P
1.07%:  COULD TOTALLY USE A HAND IN THE
1.07%: 'LL LET YOU KEEP ALL THE CASH IN
1.06%:  HAD NO IDEA SH
1.06%:  CAN SEE YOU CAN'T H
1.06%:  COULD TOTALLY TA
2.28%:  COULD TOTALLY TAKE THE
1.14%:  COULD TOTALLY TAKE THIS
1.06%:  CAN H
4.74%:  CAN HELP YOU OUT
1.76%:  CAN HELP YOU DO
1.38%:  CAN HELP YOU DO THAT L
1.30%:  CAN HELP YOU DO THAT AND
1.06%:  THINK THAT'S AN
1.06%:  COULDN'T HELP NOTICE ALL THAT
1.06%: 'LL TAL
6.19%: 'LL TALK TO YOU A
2.15%: 'LL TALK TO YOU IN
1.30%: 'LL TALK TO YOU IN A SE
1.27%: 'LL TALK TO YOU IN A SEC
1.10%: 'LL TALK TO YOU IN THE
1.06%:  CAN'T HELP YOU UN
1.25%:  CAN'T HELP YOU UNLE
1.06%:  COULD USE A LITTLE HELP IN THE L
1.06%: 'D LIKE TO TH
2.10%: 'D LIKE TO THANK THE
1.99%: 'D LIKE TO THANK THE AU
1.80%: 'D LIKE TO THANK YOU ALL
1.60%: 'D LIKE TO THINK
1.29%: 'D LIKE TO THANK ALL
3.04%: 'D LIKE TO THANK ALL THE PE
19.85%: 'D LIKE TO THANK ALL THE PEOPLE IN
2.72%: 'D LIKE TO THANK ALL THE PEOPLE I
2.17%: 'D LIKE TO THANK ALL THE ACT
1.32%: 'D LIKE TO THANK ALL THE PEOPLE AT
1.13%: 'D LIKE TO THINK THAT
1.06%:  KINDA TH
3.75%:  KINDA THINK YOU'LL
2.68%:  KINDA THINK YOU S
6.05%:  KINDA THINK YOU SHOULD LE
4.23%:  KINDA THINK YOU SHOULD T
14.45%:  KINDA THINK YOU SHOULD TELL
3.58%:  KINDA THINK YOU SHOULD P
3.06%:  KINDA THINK YOU SHOULD TAL
3.00%:  KINDA THINK YOU SHOULD L
2.71%:  KINDA THINK YOU SHOULD'
2.12%:  KINDA THINK YOU SHOULD K
1.96%:  KINDA THINK YOU SHOULD ACT
1.48%:  KINDA THINK YOU SHOULD TELL PE
1.36%:  KINDA THINK YOU SHOULD C
1.06%:  CAN SEE YOU ON
1.66%:  CAN SEE YOU ON THE
1.06%:  COULD USE A LITTLE HELP OK
1.06%:  CAN TOTALLY PULL THAT
1.06%:  CAN SEE YOU CAN'T HELP THAT
1.05%:  COULD USE A LITTLE HELP IN THE PO
1.05%:  HAD NO IDEA THEY'
1.05%:  THINK YOU SHOULD KEEP AN
1.04%:  COULD TOTALLY USE T
1.04%:  THINK YOU DON
1.45%:  THINK YOU DON'T U
1.04%: 'LL TELL YOU THE S
1.04%:  NEED YOU TO KEEP THIS
1.04%:  THINK YOU SHOULD LI
1.04%:  P
5.88%:  PUT THE KEYS ON
4.87%:  PUT THE KEYS DO
4.85%:  PUT THE KEYS ON THE CO
3.99%:  PUT THE KEYS IN THE PO
2.76%:  PUT THE KEYS IN THE POCKET AND
2.35%:  PUT THE KEYS ON T
2.04%:  PUT THE KEYS ON THE D
1.72%:  PUT THE KEYS IN THE C
1.39%:  PUT THE KEYS IN A
1.18%:  PUT THE KEYS ON A
1.17%:  PUT THE KEYS IN THE CUP
1.04%:  THINK YOU SHOULD TAKE AN ACT
1.04%:  THINK I CAN
1.03%:  THINK YOU NEED A
1.03%:  CAN'T HELP TH
1.03%:  KINDA THINK YOU SHOULD A
1.03%:  DON'T SPEAK THE
1.03%:  THINK YOU'D LO
1.03%:  CAN TOTALLY USE
1.02%:  COULD USE A LITTLE HELP ON THE T
1.02%:  SAY
1.02%:  KINDA NEED TO USE
1.02%:  T
1.02%:  KINDA NEED YOU TO HE
1.02%:  COULD USE A LITTLE HELP PLAY
1.02%: 'D LIKE TO S
2.73%: 'D LIKE TO SAY THAT
1.02%:  CAN DO THAT IN
1.21%:  CAN DO THAT IN THE
1.01%:  COULD USE A LITTLE HELP IN DE
1.01%: 'D LIKE TO TELL YOU A ST
1.01%:  COULD USE A HAND IN
1.10%:  COULD USE A HAND IN THE
1.01%:  COULD USE A LITTLE HELP AND AL
1.01%:  THINK YOU NEED TO LEA
1.01%:  NEED TO TELL YOU THAT IN
1.01%:  COULD C
1.23%:  COULD CALL
4.93%:  COULD CALL YOU THAT
1.72%:  COULD CALL YOU THAT ALL
1.42%:  COULD CALL YOU "
1.09%:  COULD CALL YOU SH
1.01%:  COULD CALL YOU THAT ALL D
1.00%:  DON'T SPEAK THAT
1.00%:  CAN'T HELP IT YOU
1.00%:  ASK YOU
1.00%:  COULD USE A LITTLE "
1.00%:  CAN TOTALLY DO IT
1.00%:  KINDA THINK YOU SHOULD AT
1.00%:  COULD TOTALLY USE AN INT
1.00%:  THINK THESE
1.00%:  ON
0.99%:  COULD USE A LITTLE HELP LE
0.99%:  NEED TO CHECK THE POSTAL
0.99%:  NEED YOU TO PLEASE T
0.99%:  THINK YOU DID
0.99%:  THINK YOU SHOULD LEAD
0.99%:  COULD USE A LITTLE HELP THO
0.98%:  COULDN'T HELP THAT YOU
0.98%:  THINK YOU NEED TO PULL
0.98%:  NEED YOU TO TELL ALL
0.98%:  COULDN'T HELP THE
0.98%:  NEED YOU TO C
2.19%:  NEED YOU TO CALL THE
1.05%:  NEED YOU TO CALL THE P
0.98%:  HAD NO IDEA YOU ST
1.33%:  HAD NO IDEA YOU STILL L
1.01%:  HAD NO IDEA YOU STILL H
0.98%: 'LL LET YOU PICK OUT
1.35%: 'LL LET YOU PICK OUT THE
0.97%: 'LL LET YOU KEEP IT
0.97%:  LOST
0.97%:  HAD NO IDEA THIS
0.97%:  COULD USE AN
0.97%: 'LL DO YOU
0.97%:  DON'T THINK THAT IS
0.97%:  CAN'T HELP IT OK
0.96%: 'D LIKE TO CHECK
1.63%: 'D LIKE TO CHECK OUT THE
0.96%:  KINDA NEED YOU TO ST
0.96%:  THINK YOU SHOULD KEEP T
0.96%:  NEED TO SE
1.85%:  NEED TO SEE YOU
1.01%:  NEED TO SEE YOU IN
0.96%:  COULD USE A LITTLE HELP IN THE N
0.95%:  THINK YOU NEED TO C
1.57%:  THINK YOU NEED TO CALL
1.33%:  THINK YOU NEED TO CALL THE
0.95%:  THINK YOU CO
1.26%:  THINK YOU COULD ST
2.19%:  THINK YOU COULD STAND
0.95%: 'LL S
1.61%: 'LL SAY IT ONE
1.06%: 'LL SAY THE
0.95%:  HATE YOU
0.95%:  DON'T NEED THAT
0.95%:  CAN SEE YOU OUT
0.95%:  THINK YOU K
0.95%: 'LL LET YOU IN
2.00%: 'LL LET YOU IN ON A L
0.95%:  THINK YOU NEED TO TELL US
0.95%:  NEED TO TELL YOU ALL THE
0.94%:  THINK YOU NEED TO SPELL "
0.94%:  NEED TO S
0.94%: 'LL LET YOU KEEP THIS
0.94%:  NEED TO USE THE C
0.94%:  USED TO LO
0.93%:  CAN TOTALLY DO THAT L
0.93%:  COULD TOTALLY USE A HINT
0.93%:  DON'T ACT
7.11%:  DON'T ACTUALLY C
2.89%:  DON'T ACTUALLY TH
3.15%:  DON'T ACTUALLY THINK HE
2.23%:  DON'T ACTUALLY THINK THE
1.72%:  DON'T ACTUALLY THINK I
1.63%:  DON'T ACTUALLY THINK THIS
1.58%:  DON'T ACTUALLY NE
7.17%:  DON'T ACTUALLY NEED THE
2.21%:  DON'T ACTUALLY NEED THE C
1.69%:  DON'T ACTUALLY NEED TO HE
1.37%:  DON'T ACTUALLY USE
1.78%:  DON'T ACTUALLY USE THAT
1.35%:  DON'T ACTUALLY USE THE
1.19%:  DON'T ACTUALLY THINK THESE
1.11%:  DON'T ACTUALLY NEED THE S
0.96%:  DON'T ACTUALLY CALL
0.93%:  COULD TOTALLY USE A LEND
0.93%:  THINK YOU DON'T HE
0.92%:  NEED YOU TO TELL E
0.92%:  COULD USE A LITTLE HELP IN THE CO
0.92%:  COULD TOTALLY USE A HELP H
0.92%:  ASKED YOU THAT AL
0.92%:  USED TO C
29.83%:  USED TO CALL YOU THAT
27.20%:  USED TO CALL YOU THAT ALL
4.85%:  USED TO CALL YOU THAT IN
4.78%:  USED TO CALL YOU "THE
