means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
    172 0.32%:  sure does come
    173 0.32%:  has done a
    174 0.32%:  does that all
    175 0.31%:  tells me there
    176 0.31%:  has once
    177 0.31%: ) rules
    178 0.31%:  tr
    179 0.31%:  shall
    180 0.31%:  has done more
    181 0.31%:  names
    182 0.31%:  has sure
    183 0.31%:  has some real
    184 0.30%:  has come to
    185 0.36%:  has come to mean
    186 0.30%:  has made me some
    187 0.30%:  means more to me than real
    188 0.29%:  calls
    189 0.29%:  has made me a los
    190 0.61%:  has made me a loser!)
    191 0.29%:  alone has
    192 0.29%:  here
    193 0.38%:  here means
    194 0.29%:  and other
    195 0.29%:  rules more
    196 0.67%:  rules more than most
    197 0.41%:  rules more than most!)
    198 0.38%:  rules more than once
    199 0.29%:  tells us that!)
    200 0.29%:  holds no
    201 0.28%:  means the
    202 0.30%:  means the same
    203 0.27%:  has done so
    204 0.27%:  does not mean
    205 0.27%:  means a lot to me and the
    206 0.27%:  can do that to a man)
    207 0.26%:  has lots
    208 0.26%:  to
    209 0.26%:  as
    210 0.26%:  does the
    211 0.58%:  does the same
    212 0.26%:  rules are the
    213 0.26%:  tells us that an
    214 0.26%:  has made me a man
    215 0.26%:  does not let me
    216 0.26%:  needs some
    217 0.26%:  rules on
    218 0.26%:  tells me that some
    219 0.25%:  has made me an
    220 0.25%:  tells me!)
    221 0.25%:  sure has let
    222 0.25%:  means a lot more
    223 0.37%:  means a lot more than
    224 0.25%:  and me
    225 0.25%:  has a lot more
    226 0.24%:  can tell me
    227 0.24%:  los
    228 0.24%:  has sure made
    229 0.24%:  lets us learn more
    230 0.24%:  turns me
    231 0.23%:  leads
    232 0.28%:  leads to truth
    233 0.23%:  loses!)
    234 0.23%:  dates
    235 0.23%:  had
    236 0.23%:  means more to me than a set
    237 0.22%:  has done me a
    238 0.22%:  has made me a lot more
    239 0.22%:  and math are not
    240 0.22%:  rule three
    241 0.22%:  tells me that dreams come
    242 0.22%:  rules at least
    243 0.21%:  has come a
    244 0.21%:  means so much to a
    245 0.21%:  means a lot to me and there
    246 0.21%:  h
    247 1.92%:  hates me!)
    248 0.50%:  hates us
    249 0.72%:  hates us all)
    250 0.21%:  tells us that to
    251 0.21%:  rules the most
    252 0.21%:  means truth
    253 0.21%:  rule the
    254 0.21%:  lets us learn more than
    255 0.21%:  can do some
    256 0.21%:  does not tell
    257 0.20%:  has sure let
    258 0.20%:  meets
    259 0.20%:  sm
    260 0.20%:  out
    261 0.20%:  has done me more
    262 0.20%:  rule one!)
    263 0.20%:  does that to a
    264 0.20%:  needs to learn
    265 0.28%:  needs to learn more
    266 0.20%:  has done some
    267 0.20%:  does the same to me)
    268 0.20%:  nerds are
    269 0.41%:  nerds are the
    270 0.20%:  has made me a loser at
    271 0.20%:  has made a
    272 0.20%:  tells us to
    273 0.20%:  tells me so much
    274 0.20%:  has to
    275 0.19%:  has not let us
    276 0.19%:  has lost
    277 0.19%:  does not tell us that
    278 0.19%:  tells me that!)
    279 0.19%:  and truth
    280 0.26%:  and truth are not
    281 0.22%:  and truth are one
    282 0.19%:  tells us that not
    283 0.19%:  has ruled me
    284 0.19%:  sure has done
    285 0.19%:  means a lot to us here!)
    286 0.19%:  does that to a man)
    287 0.19%:  tells me that dreams can
    288 0.56%:  tells me that dreams can come
    289 0.19%:  can rule!)
    290 0.19%:  names are
    291 0.18%:  means a lot to us at
    292 0.18%:  has come to me
    293 0.18%:  has also made me late
    294 0.18%:  has come close
    295 0.18%:  has cost
    296 0.20%:  has cost me more
    297 0.18%:  has made me cool
    298 0.18%:  uses
    299 0.21%:  uses the
    300 0.18%:  alone can
    301 0.18%:  does a
    302 0.18%:  seems to come
    303 0.18%:  rules that one
    304 0.18%:  and all
    305 0.32%:  and all that)
    306 0.28%:  and all that!)
    307 0.18%:  rules at least three
    308 0.18%:  does not rule
    309 0.18%:  that comes
    310 0.18%:  rules me
    311 0.17%:  che
    312 0.17%:  rules at least one
    313 0.17%:  alone!)
    314 0.17%:  could learn
    315 0.17%:  used
    316 0.17%:  rules on that
    317 0.17%:  tells us there can
    318 0.17%:  rules too
    319 0.17%:  needs me
    320 0.16%:  has rules and
    321 0.16%:  tells the
    322 0.16%:  rules at the
    323 0.16%:  tells me so much!)
    324 0.16%:  nerds are the most
    325 0.16%:  came
    326 0.16%:  that can
    327 0.16%:  on
    328 0.16%:  needs to learn some
    329 0.16%:  means a lot to me here
    330 0.16%:  rule)
    331 0.16%:  does some
    332 0.16%:  rules at least once
    333 0.16%:  alone has made
    334 0.16%:  does not care!)
    335 0.16%:  has made me a more
    336 0.16%:  can tell me that
    337 0.16%:  means more to me!)
    338 0.16%:  means a lot!)
    339 0.16%:  rules at least one more
    340 0.16%:  does come
    341 0.15%:  has told
    342 0.18%:  has told me so
    343 0.15%:  shall not
    344 0.15%:  does that to us all)
    345 0.15%:  leads us
    346 0.15%:  rules one
    347 0.15%:  means so much to all
    348 0.15%:  must come
    349 0.15%:  does that a
    350 0.39%:  does that a lot)
    351 0.32%:  does that a lot!)
    352 0.15%:  rules the land)
    353 0.15%:  has sure come
    354 0.15%:  rules as hard
    355 0.15%:  does rule the ro
    356 0.15%:  dates me
    357 0.15%:  rules al
    358 0.15%:  has rules)
    359 0.15%:  rules more!)
    360 0.15%:  so
    361 0.31%:  so rules
    362 0.15%:  once
    363 0.15%:  under
    364 0.15%:  means a lot to me and has
    365 0.15%:  can also rule
    366 0.14%:  has a lot to learn
    367 0.14%:  tells no
    368 0.14%:  does let
    369 0.14%:  also has
    370 0.14%:  does let us
    371 0.14%:  has led
    372 0.54%:  has led me to some
    373 0.14%:  and the real
    374 0.14%:  tells me no
    375 0.14%:  sh
    376 0.14%:  too
    377 0.14%:  ru
    378 0.14%:  does that!)
    379 0.14%:  has done me some
    380 0.14%:  came close
    381 0.14%:  means so much to a man)
    382 0.13%:  tells me the
    383 0.13%:  has cost me a
    384 0.13%:  tells us!)
    385 0.13%:  and all her
    386 0.13%:  means a lot to me and the rest
    387 0.13%:  also leads
    388 0.13%:  theme
    389 0.13%:  alone has made me a
    390 0.13%:  can do no
    391 0.13%:  tells us that dream
    392 0.13%:  has also made me more
    393 0.13%:  sure has made me a
    394 0.30%:  sure has made me a lot
    395 0.33%:  sure has made me a lot more
    396 0.13%:  tells us that no one
    397 0.13%:  let us
    398 0.13%:  has made me seem
    399 0.13%:  tells me to
    400 0.13%:  has made me some real
    401 0.13%:  names are hard
    402 0.13%:  has made me a real
    403 0.13%:  as a
    404 0.12%:  tells me)
    405 0.12%:  at
    406 0.23%:  at least
    407 0.22%:  at the
    408 0.20%:  at least lets
    409 0.12%:  has made me a loser)
    410 0.12%:  has made us
    411 0.12%:  sure has a
    412 0.41%:  sure has a lot to
    413 0.12%:  has no real
    414 0.12%:  rules are so
    415 0.12%:  has ruled me once
    416 0.12%:  has ruled me once more
    417 0.12%:  rules hard)
    418 0.12%:  rules are the most
    419 0.12%:  as the
    420 0.12%:  has so let
    421 0.12%:  and real
    422 0.12%:  means a lot to a
    423 0.24%:  means a lot to a man
    424 0.18%:  means a lot to a man!)
    425 0.12%:  nerds are the cool
    426 0.12%:  needs me!)
    427 0.12%:  tells us not
    428 0.15%:  tells us not to eat
    429 0.12%:  humor
    430 0.12%:  leads us to the
    431 0.12%:  rules these
    432 0.12%:  means more to us than a
    433 0.12%:  rules once more)
    434 0.12%:  does such
    435 0.12%:  tells me not
    436 0.12%:  that needs
    437 0.12%:  tells us not to dream
    438 0.12%:  rules the most)
    439 0.11%:  means a lot to me as
    440 0.11%:  has done a real
    441 0.11%:  means more to me each
    442 0.11%:  at the core
    443 0.11%:  has made me come
    444 0.11%:  does not mean that
    445 0.11%:  tells me that one
    446 0.11%:  cheer
    447 0.11%:  and the arts
    448 0.15%:  and the arts are
    449 0.11%:  can do so
    450 0.28%:  can do so much!)
    451 0.11%:  nerds un
    452 0.11%:  does that to me real
    453 0.11%:  that leads
    454 0.11%:  holds a
    455 0.16%:  holds a lot
    456 0.11%:  on the road
    457 0.11%:  and all the
    458 0.11%:  has dealt
    459 0.30%:  has dealt me some
    460 0.13%:  has dealt me some real
    461 0.11%:  has dealt me a lot
    462 0.11%:  made the
    463 0.11%:  does the same!)
    464 0.11%:  to the)
    465 0.11%:  tells me no!)
    466 0.11%:  hands
    467 0.11%:  can teach
    468 0.53%:  can teach us a lot!)
    469 0.27%:  can teach us so
    470 0.20%:  can teach us all
    471 0.11%:  can teach us a lot)
    472 0.10%:  has done me so
    473 0.10%:  men
    474 0.10%:  means more to me than star
    475 0.10%:  has no role
    476 0.10%:  tells me that means
    477 0.10%:  end
    478 0.10%:  has set
    479 0.10%:  means more to me than can
    480 0.10%:  tells us that none
    481 0.10%:  lets us do
    482 0.10%:  tells us that a dream
    483 0.10%:  hates us!)
    484 0.10%:  has led me to a
    485 0.10%:  or
    486 0.10%:  leads me
    487 0.10%:  has told me so!)
    488 0.10%:  does that to us!)
    489 0.10%:  can learn
    490 0.10%:  means a lot to me here!)
    491 0.10%:  tells me that no
    492 0.10%:  has done me some real
    493 0.10%:  has made us all
    494 0.10%:  sends
    495 0.10%:  short
    496 0.10%:  rules that one!)
    497 0.10%:  does that to us)
    498 0.10%:  means more to us than a mere
    499 0.10%:  has stood
    500 0.10%:  rules at least)
    501 0.10%:  does all
    502 0.10%:  does that to all
    503 0.10%:  rules man
    504 0.09%:  has made some real
    505 0.09%:  needs to learn to share
    506 0.09%:  and also
    507 0.09%:  the
    508 0.09%:  does that)
    509 0.09%:  at the root
    510 0.09%:  has dealt me some cruel
    511 0.09%:  too!)
    512 0.09%:  alone rules
    513 0.09%:  sc
    514 0.09%:  hur
    515 0.09%:  comes to
    516 0.09%:  names are hard!)
    517 0.09%:  and art
    518 0.13%:  and art are
    519 0.09%:  dreams
    520 0.22%:  dreams are
    521 0.09%:  has more
    522 0.09%:  means so much)
    523 0.09%:  names are hard)
    524 0.09%:  cares
    525 0.09%:  man
    526 0.09%:  on the road!)
    527 0.09%:  means so much to me at
    528 0.09%:  and math are one
    529 0.09%:  has real
    530 0.09%:  so hard
    531 0.09%:  and all that comes
    532 0.09%:  total
    533 0.09%:  alone does
    534 0.09%:  ass
    535 0.09%:  also leads me to the
    536 0.09%:  means more to me than data
    537 0.09%:  nerds)
    538 0.09%:  means too
    539 0.12%:  means too much!)
    540 0.08%:  tells us that a man
    541 0.08%:  del
    542 0.08%:  holds us
    543 0.08%:  scorn
    544 0.08%:  deals
    545 0.08%:  has made me see
    546 0.08%:  runs
    547 0.08%:  dream
    548 0.08%:  needs us
    549 0.08%:  leads the
    550 0.08%:  that does
    551 0.08%:  stole
    552 0.08%:  rules here)
    553 0.08%:  ruled the
    554 0.08%:  can rule the
    555 0.08%:  leads to the
    556 0.08%:  rules to
    557 0.08%:  tells me not to eat
    558 0.08%:  humor!)
    559 0.08%:  rule 
    560 0.08%:  has sure made me a
    561 0.24%:  has sure made me a lot more
    562 0.08%:  has done me lots
    563 0.08%:  can do a
    564 0.08%:  turns dreams
    565 0.08%:  needs a
    566 0.08%:  has an
    567 0.08%:  does rule)
    568 0.08%:  rules at least once a month
    569 0.08%:  runs the
    570 0.08%:  so hard!)
    571 0.08%:  also den
    572 0.08%:  has made me real
    573 0.08%:  tells us a
    574 0.08%:  loses once
    575 0.08%:  does seem
    576 0.08%:  means more to us all
    577 0.10%:  means more to us all than mere
    578 0.08%:  made a
    579 0.08%:  does not tell me
    580 0.08%:  tells us that at
    581 0.08%:  does a real
    582 0.08%:  told
    583 0.18%:  told me that
    584 0.10%:  told me to
    585 0.09%:  told me not
    586 0.09%:  told me so)
    587 0.08%:  comes to us
    588 0.08%:  and truth are not one
    589 0.08%:  teams
    590 0.08%:  leads me to some
    591 0.08%:  and math are all
    592 0.07%:  tells us no
    593 0.07%:  tells me so)
    594 0.07%:  dates me!)
    595 0.07%:  rules most
    596 0.07%:  named
    597 0.07%:  has seen
    598 0.07%:  means a lot to me man
    599 0.07%:  does so
    600 0.07%:  has)
    601 0.11%:  has) let
    602 0.07%:  needs to learn the
    603 0.07%:  has led me to some real
    604 0.07%:  meets the
    605 0.07%:  at least!)
    606 0.07%:  can tell us that
    607 0.07%:  means a lot to me that
    608 0.07%:  has made me lose out
    609 0.07%:  needs me to
    610 0.07%:  can lead
    611 0.13%:  can lead to such
    612 0.07%:  has cost me a lot!)
    613 0.07%:  hates me so
    614 0.07%:  has one
    615 0.07%:  can lead us
    616 0.12%:  can lead us to some
    617 0.07%:  has made me a total
    618 0.07%:  rule no
    619 0.07%:  rules dreams
    620 0.07%:  s
    621 0.07%:  has made me turn
    622 0.07%:  has made me alone
    623 0.07%:  can do that to me
    624 0.07%:  turns me on so
    625 0.10%:  turns me on so hard
    626 0.07%:  note
    627 0.07%:  means a lot to me man!)
    628 0.07%:  means so much to me and can
    629 0.07%:  these
    630 0.07%:  can mean
    631 0.07%:  has no need
    632 0.07%:  rules 
    633 0.07%:  has told me to
    634 0.07%:  also comes
    635 0.07%:  here used
    636 0.07%:  has done me a real
    637 0.07%:  comes to us all!)
    638 0.07%:  calls to
    639 0.11%:  calls to me!)
    640 0.07%:  has made all
    641 0.07%:  also does
    642 0.07%:  sn
    643 0.07%:  holds true
    644 0.07%:  comes hard
    645 0.07%:  has done us
    646 0.07%:  dreams are the most
    647 0.07%:  nerds rule
    648 0.07%:  lets us learn and
    649 0.07%:  has also made me a
    650 0.07%:  has a real
    651 0.07%:  chose
    652 0.07%:  means a lot to me as a man
    653 0.07%:  comes home
    654 0.07%:  rules at the start
    655 0.07%:  rem
    656 0.07%:  means more to me than salt
    657 0.06%:  has made me a loser once
    658 0.06%:  means more to me than dust
    659 0.06%:  leads me to the
    660 0.06%:  can dream
    661 0.06%:  sorts
    662 0.15%:  sorts out the
    663 0.06%:  rules on the
    664 0.06%:  ruled once
    665 0.06%:  can do that to us
    666 0.06%:  means to
    667 0.06%:  has told us
    668 0.06%:  tells me that dreams are a
    669 0.06%:  has dealt me a real
    670 0.06%:  turns me on to
    671 0.06%:  has lead
    672 0.21%:  has lead me to some
    673 0.06%:  has made me late
    674 0.06%:  means more to me than rest
    675 0.06%:  means there
    676 0.06%:  has let me and
    677 0.06%:  tells me so much more
    678 0.06%:  last
    679 0.07%:  last month
    680 0.06%:  rules to the
    681 0.08%:  rules to the end
    682 0.06%:  that seems
    683 0.06%:  turns me on)
    684 0.06%:  sure doesn
    685 0.06%:  has told me no
    686 0.06%:  ahead
    687 0.06%:  rules or
    688 0.06%:  rules home
    689 0.06%:  tears
    690 0.06%:  and truth are so
    691 0.06%:  has no soul
    692 0.06%:  start
    693 0.06%:  has a lot more rules
    694 0.06%:  means the same to
    695 0.06%:  has to come
    696 0.06%:  needs a lot
    697 0.06%:  also ruled
    698 0.06%:  at least has
    699 0.06%:  has come so
    700 0.06%:  sal
    701 0.06%:  also made
    702 0.06%:  and math are so
    703 0.06%:  means no
    704 0.06%:  must stand
    705 0.06%:  alone doesn
    706 0.06%:  score
    707 0.06%:  can come
    708 0.06%:  has told me some
    709 0.06%:  has ruled me once more)
    710 0.06%:  could also
    711 0.06%:  tells me) that
    712 0.06%:  d
    713 0.06%:  means more to us all than a
    714 0.06%:  means more to us all than a mere
    715 0.06%:  does these
    716 0.06%:  and truth are all
    717 0.06%:  tells me not to)
    718 0.06%:  has also made me late to
    719 0.06%:  lets us learn more and
    720 0.06%:  rules them
    721 0.06%:  has made me un
    722 0.06%:  means more to me than al
    723 0.06%:  names me
    724 0.06%:  has also made clear
    725 0.06%:  o
    726 0.06%:  smash)
    727 0.06%:  has also made me turn
    728 0.06%:  needs us all
    729 0.06%:  sure has done a
    730 0.06%:  tells us one
    731 0.06%:  comes out
    732 0.06%:  has made me lose more
    733 0.06%:  means more than one
    734 0.06%:  as a tool
    735 0.06%:  has made me cool!)
    736 0.05%:  hates me and
    737 0.05%:  has meant
    738 0.05%:  has made a real
    739 0.05%:  a
    740 0.05%:  tells me that to
    741 0.05%:  sure has made me a real
    742 0.05%:  needs our
    743 0.05%:  hands are
    744 0.05%:  does that to us all at
    745 0.05%:  name)
    746 0.05%:  has dealt me one
    747 0.12%:  has dealt me one more
    748 0.05%:  r
    749 0.05%:  tells us that man
    750 0.05%: ) that
    751 0.05%:  that tells
    752 0.05%:  does that so
    753 0.05%:  rules on that score
    754 0.05%:  date
    755 0.05%:  means lots
    756 0.05%:  means more to me than a date
    757 0.05%:  can thus
    758 0.05%:  three
    759 0.05%:  rules on that one)
    760 0.05%:  has no use
    761 0.05%:  rules too)
    762 0.05%:  all
    763 0.05%:  means more to me and
    764 0.05%:  leads to truth)
    765 0.05%:  means too much)
    766 0.05%:  need
    767 0.05%:  sure has made me more
    768 0.05%:  names!)
    769 0.05%:  nerds are so
    770 0.05%:  means a lot to me there
    771 0.05%:  has made me to
    772 0.05%:  does the same to me all
    773 0.05%:  has made me learn
    774 0.05%:  nerds can
    775 0.05%:  su
    776 0.05%:  rules and that means
    777 0.05%:  nerds are so hot
    778 0.05%:  sure has made me cr
    779 0.05%:  has made me a one
    780 0.05%:  that does not meet
    781 0.05%:  and the arts are not
    782 0.05%:  and the art
    783 0.05%:  means so much to an
    784 0.05%:  holds more
    785 0.05%:  tells me that dreams come at
    786 0.05%:  at the core!)
    787 0.05%:  has made me lots
    788 0.05%:  made me a
    789 0.05%:  has me
    790 0.05%:  seems to do
    791 0.05%: ) has
    792 0.05%:  tells us)
    793 0.05%:  means more to me than 
    794 0.05%:  has made me)
    795 0.05%:  ro
    796 0.05%:  calls me
    797 0.05%:  means more to me than test
    798 0.05%:  has made me come to
    799 0.05%:  has sent
    800 0.05%:  tells us that a man can
    801 0.09%:  tells us that a man can dream
    802 0.05%:  has led to
    803 0.13%:  has led to some
    804 0.05%:  needs all
    805 0.05%:  rules on the road
    806 0.05%:  can do such
    807 0.05%:  ends
    808 0.05%:  needs us to
    809 0.05%:  holds so
    810 0.05%:  told me that one
    811 0.05%:  has no moral
    812 0.05%:  names are hard to
    813 0.08%:  names are hard to come
    814 0.05%:  means more to me than a clean
    815 0.05%:  has made me an out
    816 0.05%:  needs to learn some man
    817 0.05%:  means more to me than a salad
    818 0.05%:  also lets
    819 0.05%:  holds some
    820 0.05%:  tells me that once
    821 0.05%:  or not
    822 0.05%:  seems more
    823 0.05%:  means more to me than rules
    824 0.08%:  means more to me than rules and
    825 0.05%:  hands!)
    826 0.05%:  can lead to some real
    827 0.05%:  can also do
    828 0.10%:  can also do that
    829 0.06%:  can also do that!)
    830 0.05%:  re
    831 0.05%:  means a lot to me and she
    832 0.05%:  rules to me
    833 0.05%:  tells me no such
    834 0.05%:  can tell us some
    835 0.05%:  tells me not to dream
    836 0.05%:  has one more
    837 0.05%:  needs to learn more!)
    838 0.05%:  has also led
    839 0.05%:  rules at least once a month)
    840 0.05%:  lost
    841 0.05%:  rest
    842 0.05%:  month
    843 0.05%:  dates!)
    844 0.05%:  rules real
    845 0.05%: ) rules the
    846 0.05%:  so rules)
    847 0.05%:  march
    848 0.05%:  has ruled!)
    849 0.05%:  means more to me than salt and
    850 0.05%:  means so much to me and let
    851 0.05%:  men!)
    852 0.05%:  totes
    853 0.23%:  totes rules)
    854 0.05%:  com
    855 0.05%:  used to call
    856 0.12%:  used to call me names
    857 0.08%:  used to call me a
    858 0.06%:  used to call me names!)
    859 0.05%:  needs us!)
    860 0.05%:  has made me all
    861 0.05%:  means so much more)
    862 0.05%:  has made me alone!)
    863 0.05%:  used to call me that
    864 0.05%:  has made a lot more
    865 0.05%:  means more to me than sent
    866 0.04%:  names are so
    867 0.06%:  names are so hard
    868 0.05%:  names are so hard!)
    869 0.04%:  needs to learn a
    870 0.04%:  tells me that dreams are too
    871 0.04%:  means more to us than an
    872 0.04%:  means a lot to a man)
    873 0.04%:  tells me that most
    874 0.04%:  can cure
    875 0.04%:  has also made me re
    876 0.04%:  does that to us a
    877 0.04%:  seems hard
    878 0.04%:  ends here
    879 0.04%:  means more to me than art
    880 0.04%:  tells us that to con
    881 0.04%:  and art are the
    882 0.08%:  and art are the same
    883 0.04%:  tells me that dream
    884 0.04%:  has made me smart
    885 0.04%:  and me!)
    886 0.04%:  to me
    887 0.04%:  has not made
    888 0.04%:  used to let
    889 0.04%:  dates are
    890 0.04%:  needs us all to
    891 0.04%:  tells me that doesn
    892 0.04%:  has led me on
    893 0.04%:  and math are cool
    894 0.04%:  does not tell the
    895 0.04%:  has meant a
    896 1.12%:  has meant a lot to me)
    897 0.53%:  has meant a lot to me!)
    898 0.11%:  has meant a lot to me and
    899 0.04%:  has ruled on
    900 0.04%:  has made me sm
    901 0.04%:  has made me lose a
    902 0.04%:  does more
    903 0.04%:  tells me that dreams are out
    904 0.04%:  means more than meets and
    905 0.04%:  means more to us than meet
    906 0.04%:  does not use
    907 0.06%:  does not use the
    908 0.04%:  lasts
    909 0.04%:  and not
    910 0.04%:  can tell me so
    911 0.08%:  can tell me so much more
    912 0.05%:  can tell me so much more!)
    913 0.04%:  needs us all the more
    914 0.04%:  also rules)
    915 0.04%:  cur
    916 0.04%:  means a lot here
    917 0.04%:  once ruled
    918 0.04%:  learn
    919 0.04%:  sets
    920 0.06%:  sets the
    921 0.04%:  needs to learn to let
    922 0.04%:  means more to me as
    923 0.04%:  also has no
    924 0.04%:  means to me that
    925 0.04%:  can do more
    926 0.04%:  means a lot to me and her
    927 0.04%:  has come out
    928 0.04%:  has told me no!)
    929 0.04%:  has all
    930 0.04%:  nerds are the ones
    931 0.04%:  has made me re
    932 0.04%:  sure came
    933 0.04%:  tells us no more
    934 0.04%:  does that to me an
    935 0.04%:  rules man)
    936 0.04%:  tells truth
    937 0.04%:  theme!)
    938 0.04%:  that means
    939 0.04%:  costs
    940 0.04%:  can hurt
    941 0.04%:  has made me a man out
    942 0.04%:  rules more than one
    943 0.04%:  tells us not to eat each
    944 0.04%:  and art are not
    945 0.04%:  and art are not the
    946 0.15%:  and art are not the same!)
    947 0.04%:  und
    948 0.04%:  can do that)
    949 0.04%:  can not
    950 0.04%:  rules a
    951 0.04%:  can let
    952 0.04%:  and math!)
    953 0.04%: ) does
    954 0.06%: ) does that
    955 0.14%: ) does that mean
    956 0.04%:  came all
    957 0.04%:  can teach us some
    958 0.04%:  that made
    959 0.04%:  has sent me on
    960 0.04%:  also made me lose
    961 0.04%:  tells me that not
    962 0.04%:  does not mean the
    963 0.04%:  rule these
    964 0.04%:  has made one
    965 0.09%:  has made one more
    966 0.04%:  teach
    967 0.04%:  teach me!)
    968 0.04%:  came out
    969 0.04%:  has at
    970 0.56%:  has at least one
    971 0.12%:  has at least made
    972 0.26%:  has at least made me more
    973 0.11%:  has at least one more
    974 0.09%:  has at least made me a
    975 0.12%:  has at least made me a more
    976 0.08%:  has at last
    977 0.07%:  has at least made one
    978 0.04%:  cheat
    979 0.04%:  tells us that can
    980 0.04%:  rules and so
    981 0.04%:  has also made me learn
    982 0.04%:  that turns
    983 0.04%:  has at least let
    984 0.04%:  tells me) there
    985 0.04%:  means more to me than true
    986 0.04%:  has a)
    987 0.04%:  scare
    988 0.04%:  means more to me than sl
