T-Rex (punchline): Oh man, a sunset! Boo hoo hoo!
100.00%: 
0.91%:  T
0.00%:  T-Rex meets
0.00%:  the phones
0.00%:  (oh
0.00%:  (This
0.00%:  (sh
0.00%:  T-Rex is on
0.00%:  T-Rex is on the phone
0.00%:  T-Rex is on the phone!
0.00%:  (BR
0.00%:  T-Rex clim
0.00%:  the T-Rex comes up
0.00%:  the plan
0.00%:  (con
0.00%:  (un
0.00%:  T-Rex has lunch
0.00%:  the T-Rex house on
0.00%:  (plus
0.00%:  (That
0.00%:  (cont
0.00%:  the police
0.00%:  T-Rex comes out
0.00%:  T-Rex meets up
0.00%:  T -
0.00%:  T-Rex los
0.00%:  (BO
0.00%:  (l
0.00%:  a couple
0.00%:  T-Rex is home
0.00%:  T-Rex is home alone
0.00%:  T-Rex is home alone!
0.00%:  T-Rex is home, alone
0.00%:  the T-Rex house has
0.00%:  (once
0.00%:  a sunset,
0.00%:  the T-Rex couple
0.00%:  T-Rex almost
0.00%:  a note
0.00%:  (c
0.00%:  (n
0.00%:  T-Rex puts on his
0.00%:  T-Rex has no
0.00%:  T-Rex opens
0.00%:  T-Rex has some
0.00%:  (m
0.00%:  a punch
0.00%:  T-Rex consum
0.00%:  T-Rex opens his
0.00%:  (RO
0.00%:  T-Rex phones home
0.00%:  the T-Rex can
0.00%:  TO B
0.00%:  (ouch
0.00%:  (T-R
0.00%:  the T-Rex house, 
0.00%:  (h
0.00%:  (next
0.00%:  (sp
0.00%:  T-Rex can
0.00%:  T-Rex has no plans
0.00%:  (cl
0.00%:  T-Rex, alone
0.00%:  T-Rex is on the phone,
0.00%:  (phone
0.00%:  (photo
0.00%:  T-Rex has to
0.00%:  (it
0.00%:  T-Rex puts on some
0.00%:  T-Rex is alone
0.00%:  T-Rex is alone,
0.00%:  T-Rex in
0.00%:  T-Rex counts
0.00%:  (po
0.00%:  (to
0.00%:  (post
0.00%:  at a
0.00%:  T-Rex helps
0.00%:  T-Rex helps out
0.00%:  (actual
0.00%:  the T-Rex pun
0.00%:  (sl
0.00%:  TO-
0.00%:  the T-Rex plans
0.00%:  a photo
0.00%:  (notice
0.00%:  (pl
0.00%:  T-Rex is alone!
0.00%:  (mean
0.00%:  T-Rex ch
0.00%:  (ex
0.00%:  T-Rex he
0.00%:  T-Rex has the
0.00%:  T-Rex has an
0.00%:  the house
0.00%:  (R
0.00%:  the T-Rex has some
0.00%:  ROT
0.00%:  (al
0.00%:  (special
0.00%:  (ph
0.00%:  a lesson
0.00%:  T-Rex meets a
0.00%:  T-Rex on the phone,
0.00%:  (OB
0.00%:  (panel
0.00%:  (most
0.00%:  (non
0.00%:  T-Rex un
0.00%:  T-Rex unco
0.00%:  T-Rex once
0.00%:  (ne
0.00%:  T-Rex pun
0.00%:  T-Rex punches out
0.00%:  T-Rex punches a
0.00%:  T-Rex punches a hole
0.00%:  T-Rex punches the
0.00%:  T-Rex punches the sun!
0.00%:  T-Rex punches the moon
0.00%:  T-Rex punches the sun,
0.00%:  T-Rex punches out some
0.00%:  T-Rex punches his
0.00%:  T-Rex punches a sun
0.00%:  T-Rex punches a hole into
0.00%:  T-Rex comes upon a sun
0.00%:  (pe
0.00%:  the T-Rex couples
0.00%:  T-Rex has spent
0.00%:  (O
0.00%:  (T-Rex has
0.00%:  the T-Rex has come
0.00%:  the T-Rex has come up
0.00%:  the T-Rex has come upon
0.00%:  the cops
0.00%:  the T-Rex school
0.00%:  a much
0.00%:  (me
0.00%:  (month
0.00%:  T-Rex has a complete
0.00%:  T-Rex must
0.00%:  T-Rex punches holes
0.00%:  (so
0.00%:  T-Rex sne
0.00%:  the T-Rex has no
0.00%:  T-Rex comes upon the sun
0.00%:  T-Rex cannot
0.00%:  a police
0.00%:  T-Rex punches some
0.00%:  -T
0.00%:  T-Rex has come
0.00%:  T-Rex has come up
0.00%:  T-Rex su
0.00%:  T-Rex enc
0.00%:  the T-Rex couple!
0.00%:  the T-Rex opens
0.00%:  the T-Rex punch
0.00%:  the T-Rex house, a
0.00%:  (ple
0.00%:  the T-Rex punches a
0.00%:  the T-Rex punches a sun
0.00%:  (em
0.00%:  T-Rex is not
0.00%:  T-Rex has his
0.00%:  T-Rex plans
0.00%:  (continue
0.00%:  the scene
0.00%:  the T-Rex comes upon a sun
0.00%:  T-Rex has one
0.00%:  (such
0.00%:  (punchline,
0.00%:  T-Rex loses a
0.00%:  - the
0.00%:  T-Rex at
0.00%:  T-Rex at home
0.00%:  T-Rex at home, alone
0.00%:  T-Rex at home!
0.00%:  (se
0.00%:  T-Rex loses the
0.00%:  T-Rex not
0.00%:  (sm
0.00%:  T-Rex punches out a
0.00%:  T-Rex has a sun
0.00%:  (close
0.00%:  T-Rex no
0.00%:  T-Rex st
0.00%:  T-Rex comes to
0.00%:  T-Rex c
0.00%:  T-Rex has to punch
0.00%:  T-Rex has to punch someone
0.00%:  T-Rex has to punch someone!
0.00%:  (ut
0.00%:  (cons
0.00%:  T R
0.00%:  the T-Rex house is pl
0.00%:  a house
0.00%:  (comp
0.00%:  T-Rex has not
0.00%:  T-Rex hasn
0.00%:  T-Rex puts his
0.00%:  (contains
0.00%:  (On
0.00%:  a special
0.00%:  T-Rex is punch
0.00%:  T-Rex on the sun
0.00%:  T-Rex is home, alone!
0.00%:  (each
0.00%:  (except
0.00%:  T-Rex miss
0.00%:  T-Rex comes upon a house
0.00%:  T-Rex must choose
0.00%:  T-Rex is pun
0.00%:  T-Rex punches out his
0.00%:  the usual
0.00%:  the T-Rex!
0.00%:  the T-Rex house sm
0.00%:  a complete
0.00%:  (Oh
0.00%:  T-Rex sits
0.00%:  T-Rex sits alone
0.00%:  T-Rex sits alone,
0.00%:  T-Rex sits alone on
0.00%:  T-Rex sits on
0.00%:  a scene
0.00%:  the T-Rex home!
0.00%:  T-Rex on the moon
0.00%:  T-Rex phones the
0.00%:  T-Rex is so
0.00%:  the T-Rex los
0.00%:  the T-Rex sp
0.00%:  T-Rex places
0.00%:  (T-Rex is
0.00%:  (last
0.00%:  the T-Rex punches his
0.00%:  T-Rex comes upon an
0.00%:  T-Rex alone
0.00%:  T-Rex alone,
0.00%:  (expl
0.00%:  the T-Rex has a
0.00%:  T-Rex on his
0.00%:  T-Rex on the moon,
0.00%:  T-Rex has come upon
0.00%:  a cl
0.00%:  (less
0.00%:  (see
0.00%:  T-Rex ap
0.00%:  - B
0.00%:  (act
0.00%:  T-Rex loses an
0.00%:  T-Rex consult
0.00%:  T-Rex hum
0.00%:  T-Rex stops
0.00%:  the T-Rex special
0.00%:  T-Rex punches a house
0.00%:  the T-Rex house, on
0.00%:  T-Rex claims
0.00%:  the R
0.00%:  the T-Rex home,
0.00%:  T-Rex isn
0.00%:  the planes
0.00%:  T-Rex shoot
0.00%:  T-Rex has put
0.00%:  T-Rex has put on
0.00%:  the clim
0.00%:  - at
0.00%:  T-Rex phones home to
0.00%:  T-Rex has plans
0.00%:  the T-Rex m
0.00%:  T-Rex is no
0.00%:  T-Rex sees a
0.00%:  T-Rex cho
0.00%:  T-Rex chooses not
0.00%:  T-Rex chooses the
0.00%:  T-Rex on a
0.00%:  T-Rex punches a hole in a
0.00%:  T-Rex meets his
0.00%:  the un
0.00%:  T-Rex opens a
0.00%:  T-Rex list
0.00%:  (noon
0.00%:  T-Rex, the
0.00%:  (home
0.00%:  T-Rex plans his
0.00%:  T-Rex sl
0.00%:  ouch
0.00%:  T-Rex suspect
0.00%:  T-Rex comes upon his
0.00%:  T-Rex has to punch someone,
0.00%:  (he
0.00%:  (ap
0.00%:  T-Rex sn
0.00%:  (man
0.00%:  T-Rex is at
0.00%:  T-Rex is at home, alone
0.00%:  T-Rex is at home, alone!
0.00%:  (ch
0.00%:  the pool
0.00%:  T-Rex lies
0.00%:  T-Rex punches the moon,
0.00%:  (poss
0.00%:  T-Rex counts his
0.00%:  T-Rex has chosen
0.00%:  (comput
0.00%:  (sc
0.00%:  T-Rex, alone on
0.00%:  at T
0.00%:  the T-Rex phones
0.00%:  T-Rex soon
0.00%:  (scene
0.00%:  the ocean
0.00%:  the T-Rex console
0.00%:  the T-Rex house, much
0.00%:  T-Rex e
0.00%:  the T-Rex s
0.00%:  T-Rex comp
0.00%:  T-Rex is alone on
0.00%:  the s
0.00%:  T-Rex is out
0.00%:  the T-Rex canon
0.00%:  T-Rex chases
0.00%:  (up
0.00%:  the T-Rex B
0.00%:  the T-Rex cl
0.00%:  T-Rex cannot help
0.00%:  the school
0.00%:  T-Rex opens his mouth
0.00%:  T-Rex on a plane
0.00%:  (T-Rex,
0.00%:  the T-Rex pos
0.00%:  (simple
0.00%:  T-Rex upon
0.00%:  - 
0.00%:  the T-Rex consum
0.00%:  a T
0.00%:  T-Rex up
0.00%:  the T-Rex c
0.00%:  the T-Rex house in
0.00%:  (can
0.00%:  the T-Rex soon
0.00%:  the T-Rex houses
0.00%:  T-Rex snaps out
0.00%:  a school
0.00%:  T-Rex alone on
0.00%:  T-Rex alone on the
0.00%:  T-Rex is ch
0.00%:  the lunch
0.00%:  T-Rex is su
0.00%:  (co
0.00%:  T-Rex notices a
0.00%:  the T-Rex house, lunch
0.00%:  T-Rex has to punch someone in
0.00%:  T-Rex is alone on the
0.00%:  T-Rex is on a
0.00%:  T-Rex is on a plane
0.00%:  (top
0.00%:  T-Rex chooses a
0.00%:  the T-Rex is home
0.00%:  T-Rex stom
0.00%:  T-Rex stomps on a
0.00%:  T-Rex has no plans to
0.00%:  the chosen
0.00%:  the T-Rex plan
0.00%:  the T-Rex plan comes
0.00%:  the su
0.00%:  the pl
0.00%:  (then
0.00%:  Rex
0.00%:  (OT
0.00%:  the T-Rex house is B
0.00%:  T-Rex causes
0.00%:  T-Rex eats some
0.00%:  T-Rex cons
0.00%:  T-Rex uses the
0.00%:  T-Rex is once
0.00%:  (example
0.00%:  a speech
0.00%:  T-Rex is on the moon
0.00%:  T-Rex is on the moon,
0.00%:  (But
0.00%:  (notes
0.00%:  T-Rex p
0.00%:  T-Rex pushes the
0.00%:  (school
0.00%:  the T-Rex cho
0.00%:  (im
0.00%:  (phones
0.00%:  the T-Rex is alone
0.00%:  T-Rex pe
0.00%:  the T-Rex police
0.00%:  T-Rex as
0.00%:  T-Rex acts
0.00%:  T-Rex clos
0.00%:  T-Rex has come upon the
0.00%:  (su
0.00%:  the humans
0.00%:  a man
0.00%:  (Th
0.00%:  T-Rex claims he
0.00%:  T-Rex helps out on
0.00%:  T-Rex is seen
0.00%:  T-Rex is up
0.00%:  OT
0.00%:  the T-Rex comes upon an
0.00%:  T-Rex h
0.00%:  the T-Rex homes
0.00%:  (opens
0.00%:  (stop
0.00%:  (out
0.00%:  the T-Rex couple,
0.00%:  (shot
0.00%:  the T-Rex is on
0.00%:  a sunset on
0.00%:  a hum
0.00%:  T-Rex che
0.00%:  T-Rex punches out an
0.00%:  the T-Rex hum
0.00%:  (o
0.00%:  (mon
0.00%:  T-Rex insult
0.00%:  a plan
0.00%:  the T-Rex h
0.00%:  T-Rex is on a plane,
0.00%:  a sunset, a
0.00%:  a sunset, a couple
0.00%:  T-Rex has a come
0.00%:  the TR
0.00%:  T-Rex helps his
0.00%:  T-Rex sm
0.00%:  T-Rex at home, punch
0.00%:  T-Rex is almost
0.00%:  - no
0.00%:  (sup
0.00%:  T-Rex helps a
0.00%:  the T-Rex camp
0.00%:  T-Rex paus
0.00%:  (time
0.00%:  T-Rex has lost
0.00%:  O-
0.00%:  a mont
0.00%:  T-Rex opens his mouth,
0.00%:  (touch
0.00%:  T-Rex teaches
0.00%:  T-Rex punches a house,
0.00%:  T-Rex alone!
0.00%:  T-Rex is at home!
0.00%:  - on
0.00%:  (hon
0.00%:  the B
0.00%:  (Re
0.00%:  T-Rex points
0.00%:  the T-Rex (
0.00%:  the T-Rex uses
0.00%:  T-Rex has,
0.00%:  the T-Rex he
0.00%:  the T-Rex clim
0.00%:  a close
0.00%:  T-Rex B
0.00%:  T-Rex has cal
0.00%:  T-Rex slips on the
0.00%:  (sn
0.00%:  (Rom
0.00%:  (none
0.00%:  T-Rex chooses one
0.00%:  the T-Rex con
0.00%:  (hum
0.00%:  the lesson
0.00%:  the T-Rex enc
0.00%:  T-Rex cat
0.00%:  the T-Rex has an
0.00%:  a post
0.00%:  T-Rex calm
0.00%:  T-Rex so
0.00%:  T-Rex is speech
0.00%:  the T-Rex house has a
0.00%:  (om
0.00%:  (x
0.00%:  a sunset-
0.00%:  OR B
0.00%:  the T-Rex mon
0.00%:  the T-Rex monoc
0.00%:  the T-Rex has chosen
0.00%:  (sim
0.00%:  the sum
0.00%:  the much
0.00%:  the T-Rex sno
0.00%:  T-Rex sets
0.00%:  T-Rex sh
0.00%:  the T-Rex hopes
0.00%:  T-Rex loses touch
0.00%:  T-Rex l
0.00%:  (Bon
0.00%:  T-Rex notices some
0.00%:  T-Rex mess
0.00%:  T-Rex acts on
0.00%:  T-Rex, upon
0.00%:  T-Rex is a
0.00%:  the T-Rex house, as
0.00%:  (cut
0.00%:  T-Rex is alone on a mount
0.00%:  (nost
0.00%:  a poem
0.00%:  T-Rex steps
0.00%:  (spe
0.00%:  (push
0.00%:  T-Rex man
0.00%:  (T-Rex punch
0.00%:  T-Rex has one last
0.00%:  the cool
0.00%:  T-Rex (
0.00%:  T-Rex has some lunch
0.00%:  T-Rex has eaten
0.00%:  T-Rex is much
0.00%:  T-Rex is the
0.00%:  the T-Rex can no
0.00%:  T-Rex lets
0.00%:  T-Rex also
0.00%:  (lo
0.00%:  (come
0.00%:  T-Rex spots
0.00%:  (ins
0.00%:  the comp
0.00%:  T-Rex, the sun
0.00%:  T-Rex lies on
0.00%:  the T-Rex has no plans
0.00%:  T-Rex is not alone
0.00%:  the T-Rex phone!
0.00%:  T-Rex smiles
0.00%:  the T-Rex lunch
0.00%:  T-Rex is sun
0.00%:  a simple
0.00%:  T-Rex comes upon this
0.00%:  T-Rex helps out some
0.00%:  (col
0.00%:  T-Rex is out on
0.00%:  T-Rex home
0.00%:  T-Rex home alone!
0.00%:  - a
0.00%:  (um
0.00%:  a panel
0.00%:  (too
0.00%:  T-Rex punches a man
0.00%:  the T-Rex p
0.00%:  (ps
0.00%:  (points
0.00%:  the hum
0.00%:  T-Rex, the consum
0.00%:  - much
0.00%:  T-Rex spent
0.00%:  T-Rex spent his
0.00%:  T-Rex consumes a
0.00%:  T-Rex touches
0.00%:  (Text
0.00%:  T-Rex cuts
0.00%:  the T-Rex has once
0.00%:  a home
0.00%:  -OR
0.00%:  - OR
0.00%:  T-Rex has put on some
0.00%:  a moon
0.00%:  the ph
0.00%:  (mus
0.00%:  T-Rex, a
0.00%:  T-Rex puts on some nice
0.00%:  the pun
0.00%:  a lunch
0.00%:  (Because
0.00%:  (plot
0.00%:  (min
0.00%:  T-Rex con
0.00%:  a cute
0.00%:  (complex
0.00%:  T-Rex counts up
0.00%:  T-Rex phones the sun
0.00%:  the T-Rex pl
0.00%:  T-Rex helps the
0.00%:  (open
0.00%:  the T-Rex man
0.00%:  TO R
0.00%:  the T-Rex sne
0.00%:  the T-Rex couple has
0.00%:  (Be
0.00%:  T-Rex has the sun
0.00%:  (the sun has come
0.00%:  (the sun has come up,
0.00%:  (mo
0.00%:  T-Rex has once
0.00%:  the T-Rex house, on a
0.00%:  (help
0.00%:  T-Rex speech
0.00%:  T-Rex has chosen not
0.00%:  T-Rex sc
0.00%:  the complex
0.00%:  (hot
0.00%:  the T-Rex house is a
0.00%:  (te
0.00%:  the T-Rex no
0.00%:  T-Rex snaps!
0.00%:  the T-Rex sl
0.00%:  (the sun has,
0.00%:  (ho
0.00%:  T-Rex is un
0.00%:  (count
0.00%:  (t-sh
0.00%:  (T-Rex alone
0.00%:  (minus
0.00%:  T-Rex has someone
0.00%:  (pause
0.00%:  T-Rex, in
0.00%:  T-Rex sinc
0.00%:  T-Rex us
0.00%:  T-Rex consumes the
0.00%:  (To
0.00%:  (she
0.00%:  a plot
0.00%:  (clos
0.00%:  T-Rex has no plans!
0.00%:  T-Rex to
0.00%:  T-Rex punches one
0.00%:  T-Rex is on a plane to
0.00%:  T-Rex, alone!
0.00%:  the T-Rex com
0.00%:  (Once
0.00%:  the T-Rex house, su
0.00%:  T-Rex chooses one plan
0.00%:  T-Rex punches a mountain
0.00%:  (en
0.00%:  a nice
0.00%:  T-Rex has to console
0.00%:  the T-Rex consumes a
0.00%:  T-Rex, alone on a mount
0.00%:  T-Rex, his
0.00%:  (clean
0.00%:  (exc
0.00%:  T-Rex cal
0.00%:  the T-Rex special!
0.00%:  the T-Rex is a
0.00%:  (hint
0.00%:  (ep
0.00%:  (late
0.00%:  the T-Rex comp
0.00%:  T-Rex consumes an
0.00%:  the T-Rex sle
0.00%:  T-Rex on a sun
0.00%:  T-Rex moon
0.00%:  the T-Rex house as
0.00%:  O,
0.00%:  T-Rex sle
0.00%:  T-Rex sleeps on
0.00%:  (human
0.00%:  T-Rex alone on a mount
0.00%:  T-Rex punches holes into
0.00%:  T-Rex phone
0.00%:  T-Rex is at home alone
0.00%:  T-Rex is at home alone!
0.00%:  the T-Rex pushes
0.00%:  (online
0.00%:  T-Rex phones a
0.00%:  (hom
0.00%:  the T-Rex moon
0.00%:  T-Rex seems
0.00%:  T-Rex se
0.00%:  T-Rex loses out
0.00%:  T-Rex cl
0.00%:  the excuse
0.00%:  a cool
0.00%:  T-Rex is on a plane home
0.00%:  (six
0.00%:  the T-Rex is pun
0.00%:  T-Rex on his phone
0.00%:  the T-Rex imp
0.00%:  the T-Rex is punch
0.00%:  the T-Rex house, in
0.00%:  T-Rex s
0.00%:  T-Rex has un
0.00%:  (sleep
0.00%:  T-Rex is shot
0.00%:  T-Rex has seen
0.00%:  (cop
0.00%:  the ch
0.00%:  T-Rex punches the moon in
0.00%:  T-Rex counts on
0.00%:  T-Rex posts
0.00%:  T-Rex sees an
0.00%:  the T-Rex isn
0.00%:  T-Rex has stolen
0.00%:  at su
0.00%:  a plane
0.00%:  T-Rex is home!
0.00%:  T-Rex loses!
0.00%:  T-Rex, not
0.00%:  the T-Rex has lunch
0.00%:  T-Rex comes to his
0.00%:  the music
0.00%:  the T-Rex is,
0.00%:  T-Rex puts some
0.00%:  T-Rex, alone on the
0.00%:  the T-Rex phone is
0.00%:  T-Rex m
0.00%:  the c
0.00%:  the T-Rex has a sun
0.00%:  T-Rex chooses one path
0.00%:  the sm
0.00%:  T-Rex claims to
0.00%:  the con
0.00%:  the T-Rex soon comes
0.00%:  the T-Rex soon comes upon
0.00%:  the T-Rex house consum
0.00%:  T-Rex, on
0.00%:  T-Rex, on the phone
0.00%:  T-Rex, on the phone!
0.00%:  (listen
0.00%:  the T-Rex cons
0.00%:  T-Rex sun
0.00%:  a month
0.00%:  T-Rex up on
0.00%:  T-Rex punch
0.00%:  (class
0.00%:  T-Rex posts on
0.00%:  T-Rex phones his
0.00%:  T-Rex puts a
0.00%:  (point
0.00%:  T-Rex sno
0.00%:  a pl
0.00%:  T-Rex is alone on the moon
0.00%:  the T-Rex on
0.00%:  T-Rex sum
0.00%:  the T-Rex lies
0.00%:  T-Rex can see
0.00%:  T-Rex plans a
0.00%:  the ap
0.00%:  the T-Rex l
0.00%:  T-Rex plants
0.00%:  T-Rex actual
0.00%:  a con
0.00%:  T-Rex is asleep
0.00%:  T-Rex can no
0.00%:  T-Rex uses a
0.00%:  the T-Rex e
0.00%:  the calm
0.00%:  (These
0.00%:  T-Rex spies
0.00%:  T-Rex on top
0.00%:  (us
0.00%:  T-Rex has no plans,
0.00%:  the T-Rex helps
0.00%:  T-Rex is on the sun
0.00%:  T-Rex has pun
0.00%:  T-Rex chooses option
0.00%:  T-Rex has no one
0.00%:  -at
0.00%:  (pol
0.00%:  T-Rex punches an
0.00%:  T-Rex is alone on top
0.00%:  a su
0.00%:  T-Rex is at home, punch
0.00%:  T-Rex le
0.00%:  T-Rex leaps out
0.00%:  the T-Rex house, noon
0.00%:  the T-Rex house, noon!
0.00%:  -no
0.00%:  T-Rex meets an
0.00%:  T-Rex has such
0.00%:  (Then
0.00%:  T-Rex is alone, on
0.00%:  T-Rex!
0.00%:  T-Rex pl
0.00%:  T-Rex has lunch at
0.00%:  T-Rex has lunch at home
0.00%:  a hot
0.00%:  the T-Rex in
0.00%:  (sample
0.00%:  T-Rex polit
0.00%:  T-Rex on a plane to
0.00%:  (Rep
0.00%:  T-Rex has some alone
0.00%:  T-Rex spies on the
0.00%:  T-Rex in the
0.00%:  T-Rex in the sun
0.00%:  a shot
0.00%:  T-Rex phones home,
0.00%:  T-Rex stomps on an
0.00%:  (sum
0.00%:  the T-Rex house, a sun
0.00%:  T-Rex emails
0.00%:  a sunset in
0.00%:  (inc
0.00%:  T-Rex, upset
0.00%:  the ep
0.00%:  (pan
0.00%:  -the
0.00%:  the announce
0.00%:  the T-Rex police!
0.00%:  T-Rex has no clue
0.00%:  (punchline -
0.00%:  the T-Rex once
0.00%:  the camp
0.00%:  the T-Rex plan!
0.00%:  the home
0.00%:  the T-Rex clone
0.00%:  (alph
0.00%:  the T-Rex punches a man
0.00%:  T-Rex, once
0.00%:  (sil
0.00%:  T-Rex pushes them
0.00%:  (plan
0.00%:  the plane
0.00%:  T-Rex pushes a
0.00%:  the T-Rex house, upon
0.00%:  T-Rex is upset
0.00%:  T-Rex is upset!
0.00%:  a non
0.00%:  the T-Rex house has no
0.00%:  the T-Rex musical
0.00%:  the poem
0.00%:  - TO
0.00%:  the T-Rex ch
0.00%:  T-Rex chooses option one
0.00%:  T-Rex plans on
0.00%:  the speech
0.00%:  a BO
0.00%:  T-Rex has to clean
0.00%:  T-Rex has to clean up some
0.00%:  (Blue
0.00%:  T-Rex has sun
0.00%:  (cho
0.00%:  the T-Rex has no plans,
0.00%:  T-Rex punches a hole in a sun
0.00%:  the T-Rex has no plans!
0.00%:  - some
0.00%:  T-Rex has lunch!
0.00%:  (set
0.00%:  -B
0.00%:  (sex
0.00%:  T-Rex cuts open
0.00%:  T-Rex is too
0.00%:  T-Rex out
0.00%:  T-Rex is such
0.00%:  T-Rex chooses an
0.00%:  T-Rex notices a sun
0.00%:  - sun
0.00%:  (consum
0.00%:  T-Rex is comp
0.00%:  T-Rex is home alone, punch
0.00%:  a c
0.00%:  the T-Rex cannon
0.00%:  (mouth
0.00%:  the T-Rex house soon
0.00%:  the T-Rex console!
0.00%:  T-Rex sol
0.00%:  (incl
0.00%:  T-Rex is on top
0.00%:  T-Rex hits
0.00%:  a shout
0.00%:  T-Rex helps out a
0.00%:  T-Rex alone, on
0.00%:  T-Rex has phone
0.00%:  a phot
0.00%:  T-Rex hates sun
0.00%:  T-Rex is an
0.00%:  T-Rex puts on an
0.00%:  (le
0.00%:  the 
0.00%:  (must
0.00%:  (nice
0.00%:  T-Rex esc
0.00%:  (che
0.00%:  a ch
0.00%:  T-Rex is late
0.00%:  the T-Rex is on a
0.00%:  T-Rex cannot sleep
0.00%:  T-Rex cannot sleep!
0.00%:  (option
0.00%:  T-Rex sleeps in
0.00%:  T-Rex spots a
0.00%:  T-Rex has put on his
0.00%:  T-Rex on a plane home
0.00%:  the T-Rex machine
0.00%:  (pool
0.00%:  T-Rex has let
0.00%:  the houses
0.00%:  T-Rex at home, phone
0.00%:  T-Rex has to clean up his
0.00%:  - in
0.00%:  T-Rex is cool
0.00%:  T-Rex is home alone, so
0.00%:  T-Rex has a nice
0.00%:  the non
0.00%:  (social
0.00%:  a sp
0.00%:  the T-Rex sm
0.00%:  the cons
0.00%:  T-Rex phones in
0.00%:  the BO
0.00%:  the T-Rex plans come
0.00%:  (T-Rex is punch
0.00%:  ahem
0.00%:  (Real
0.00%:  the T-Rex as
0.00%:  (ten
0.00%:  the T-Rex house sh
0.00%:  the m
0.00%:  T-Rex is consum
0.00%:  (expect
0.00%:  the T-Rex lies!
0.00%:  T-Rex hopes
0.00%:  T-Rex comes upon one
0.00%:  the T-Rex house! sun
0.00%:  T-Rex is up on the
0.00%:  the T-Rex plans on
0.00%:  T-Rex loses one
0.00%:  (punchline!
0.00%:  T-Rex chooses option B
0.00%:  the us
0.00%:  (colon
0.00%:  a B
0.00%:  T-Rex has no such
0.00%:  (hol
0.00%:  T-Rex must choose!
0.00%:  (pos
0.00%:  T-Rex hops
0.00%:  T-Rex, upon close
0.00%:  (ton
0.00%:  the T-Rex house is ha
0.00%:  (tm
0.00%:  T-Rex steps on a le
0.00%:  T-Rex phones them
0.00%:  T-Rex teaches his
0.00%:  T-Rex comes out on
0.00%:  -The
0.00%:  T-Rex has spent each
0.00%:  T-Rex has chosen the
0.00%:  (ext
0.00%:  T-Rex is on an
0.00%:  T-Rex at home alone
0.00%:  T-Rex at home alone!
0.00%:  T-Rex consumes a lot
0.00%:  T-Rex lies to
0.00%:  (house
0.00%:  a ho
0.00%:  T-Rex chops
0.00%:  T-Rex punches out a man
0.00%:  the T-Rex house, soon
0.00%:  (unc
0.00%:  (comes
0.00%:  (i
0.00%:  (since
0.00%:  the T-Rex has un
0.00%:  the social
0.00%:  T-Rex co
0.00%:  T-Rex ut
0.00%:  the scheme
0.00%:  the T-Rex ho
0.00%:  the case
0.00%:  T-Rex punches a man!
0.00%:  -some
0.00%:  T-Rex chooses one option
0.00%:  T-Rex comes upon a house,
0.00%:  T-Rex, on his
0.00%:  the men
0.00%:  the T-Rex punches in
0.00%:  (One
0.00%:  the T-Rex hom
0.00%:  the T-Rex house can
